Name,RushAtt,RushYds,RushTds,Targets,Receptions,RecYds,RecTds,TotTD,TotTouch,FPPG,FP
Deshaun Fenwick,0,0,0,0,0,0,0,0,0,0.0,0.0
Isaac Guerendo,0,0,0,0,0,0,0,0,0,0.0,0.0
Blake Watson,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Wiley,0,0,0,0,0,0,0,0,0,0.0,0.0
Carson Steele,0,0,0,0,0,0,0,0,0,0.0,0.0
Kimani Vidal,0,0,0,0,0,0,0,0,0,0.0,0.0
Ramon Jefferson,0,0,0,0,0,0,0,0,0,0.0,0.0
Emani Bailey,0,0,0,0,0,0,0,0,0,0.0,0.0
Jawhar Jordan,0,0,0,0,0,0,0,0,0,0.0,0.0
Sione Vaki,0,0,0,0,0,0,0,0,0,0.0,0.0
Dillon Johnson,0,0,0,0,0,0,0,0,0,0.0,0.0
Cody Schrader,0,0,0,0,0,0,0,0,0,0.0,0.0
Dante Miller,0,0,0,0,0,0,0,0,0,0.0,0.0
Jacob Kibodi,0,0,0,0,0,0,0,0,0,0.0,0.0
Ray Davis,0,0,0,0,0,0,0,0,0,0.0,0.0
Trent Pennix,0,0,0,0,0,0,0,0,0,0.0,0.0
Anthony Grant,0,0,0,0,0,0,0,0,0,0.0,0.0
Markese Stepp,0,0,0,0,0,0,0,0,0,0.0,0.0
Mathieu Severance,0,0,0,0,0,0,0,0,0,0.0,0.0
Samson Evans,0,0,0,0,0,0,0,0,0,0.0,0.0
La'Damian Webb,0,0,0,0,0,0,0,0,0,0.0,0.0
Michael Herzog,0,0,0,0,0,0,0,0,0,0.0,0.0
Lorenzo Lingard,0,0,0,0,0,0,0,0,0,0.0,0.0
Jalen Jackson,0,0,0,0,0,0,0,0,0,0.0,0.0
Justin Strong,0,0,0,0,0,0,0,0,0,0.0,0.0
Colson Yankoff,0,0,0,0,0,0,0,0,0,0.0,0.0
British Brooks,0,0,0,0,0,0,0,0,0,0.0,0.0
Trey Potts,0,0,0,0,0,0,0,0,0,0.0,0.0
Jarveon Howard,0,0,0,0,0,0,0,0,0,0.0,0.0
TaMerik Williams,0,0,0,0,0,0,0,0,0,0.0,0.0
Kobe Lewis,0,0,0,0,0,0,0,0,0,0.0,0.0
TD Ayo-Durojaiye,0,0,0,0,0,0,0,0,0,0.0,0.0
Ian Wheeler,0,0,0,0,0,0,0,0,0,0.0,0.0
Nathaniel Peat,0,0,0,0,0,0,0,0,0,0.0,0.0
Jordan Terrell,0,0,0,0,0,0,0,0,0,0.0,0.0
Chris Collier,0,0,0,0,0,0,0,0,0,0.0,0.0
Dylan Laube,0,0,0,0,0,0,0,0,0,0.0,0.0
