Rank,Name,Recs,Targets,RecYds,RecTds,Targets/game,FPPG,FP
242,Duece Watts,0,0,0,0,0,0,0
243,Isaiah Winstead,0,0,0,0,0,0,0
244,Sean Ryan,0,0,0,0,0,0,0
245,Xavier Smith,0,0,0,0,0,0,0
246,Devontez Walker,0,0,0,0,0,0,0
247,Keon Coleman,0,0,0,0,0,0,0
248,Malachi Corley,0,0,0,0,0,0,0
249,Ryan Miller,0,0,0,0,0,0,0
250,Tre'Shaun Harrison,0,0,0,0,0,0,0
251,Dylan Drummond,0,0,0,0,0,0,0
252,Bryan Thompson,0,0,0,0,0,0,0
253,David Durden,0,0,0,0,0,0,0
254,John Stephens Jr.,0,0,0,0,0,0,0
255,Lucky Jackson,0,0,0,0,0,0,0
256,Brycen Tremayne,0,0,0,0,0,0,0
257,Maurice Alexander,0,0,0,0,0,0,0
258,Josh Ali,0,0,0,0,0,0,0
259,Jacob Cowing,0,0,0,0,0,0,0
260,Johnny Wilson,0,0,0,0,0,0,0
261,Bryce Ford-Wheaton,0,0,0,0,0,0,0
262,Cephus Johnson III,0,0,0,0,0,0,0
263,Grant DuBose,0,0,0,0,0,0,0
264,Jared Wayne,0,0,0,0,0,0,0
265,Thayer Thomas,0,0,0,0,0,0,0
266,Malik Knowles,0,0,0,0,0,0,0
267,Shaquan Davis,0,0,0,0,0,0,0
268,Terrell Bynum,0,0,0,0,0,0,0
269,Kazmeir Allen,0,0,0,0,0,0,0
270,Jalen Cropper,0,0,0,0,0,0,0
271,Malik Nabers,0,0,0,0,0,0,0
272,Rome Odunze,0,0,0,0,0,0,0
273,Lawrence Keys III,0,0,0,0,0,0,0
274,Devron Harper,0,0,0,0,0,0,0
275,Isaiah Wooden,0,0,0,0,0,0,0
276,JaQuae Jackson,0,0,0,0,0,0,0
277,Sam Schnee,0,0,0,0,0,0,0
278,Bryce Oliver,0,0,0,0,0,0,0
279,Isaiah Washington,0,0,0,0,0,0,0
280,Sam Pinckney,0,0,0,0,0,0,0
281,Mason Tipton,0,0,0,0,0,0,0
282,Kameron Johnson,0,0,0,0,0,0,0
283,Odieu Hiliare,0,0,0,0,0,0,0
284,Tyler Harrell,0,0,0,0,0,0,0
285,Dee Williams,0,0,0,0,0,0,0
286,Cam Johnson,0,0,0,0,0,0,0
287,Geordon Porter,0,0,0,0,0,0,0
288,Terique Owens,0,0,0,0,0,0,0
289,Kyle Sheets,0,0,0,0,0,0,0
290,Talik Keaton,0,0,0,0,0,0,0
291,Tre Mosley,0,0,0,0,0,0,0
292,Drake Stoops,0,0,0,0,0,0,0
293,Jalon Calhoun,0,0,0,0,0,0,0
294,Xavier Johnson,0,0,0,0,0,0,0
295,Devin Carter,0,0,0,0,0,0,0
296,Ahmarean Brown,0,0,0,0,0,0,0
297,Xavier White,0,0,0,0,0,0,0
298,Jeshaun Jones,0,0,0,0,0,0,0
299,Jermaine Jackson,0,0,0,0,0,0,0
300,Leon Johnson III,0,0,0,0,0,0,0
301,Jeff Foreman,0,0,0,0,0,0,0
302,Jaelen Gill,0,0,0,0,0,0,0
303,Jaylen Johnson,0,0,0,0,0,0,0
304,Ayir Asante,0,0,0,0,0,0,0
305,Corey Crooms Jr.,0,0,0,0,0,0,0
306,Ty James,0,0,0,0,0,0,0
307,Treveyon Pratt,0,0,0,0,0,0,0
308,Dakota Caton,0,0,0,0,0,0,0
309,Kaylon Horton,0,0,0,0,0,0,0
310,Daniel George,0,0,0,0,0,0,0
311,Beau Corrales,0,0,0,0,0,0,0
312,Dakereon Joyner,0,0,0,0,0,0,0
313,Latreal Jones,0,0,0,0,0,0,0
